紹介,しょうかい,自己紹介,紹介文,人材紹介,紹介状,店紹介
渡り鳥,わたりどり,渡り鳥たち,する渡り鳥,渡り鳥ロディ,渡り鳥の飛来,渡り鳥のよう
闘志,とうし,闘志を燃やす,不屈の闘志,闘志に火,闘志むき出し,なる闘志
交尾,こうび,交尾をする,交尾器,交尾中,交尾後,交尾行動
溶かす,とかす,溶かすこと,雪を溶かす,心を溶かす,よく溶かす,氷を溶かす
強迫,きょうはく,強迫観念,強迫性,強迫的,強迫行為
掘り起こし,ほりおこし,需要の掘り起こし,票の掘り起こし,資源の掘り起こし,者の掘り起こし,需要掘り起こし
騒がしい,さわがしい,外が騒がしい,騒がしいこと,騒がしい声,騒がしい音,何やら騒がしい
噴霧,ふんむ,噴霧器,噴霧乾燥,水噴霧,噴霧機,動力噴霧
煮干,にぼし,煮干しら,煮干系,煮干いりこ
焼き芋,やきいも,石焼き芋,焼き芋屋,焼き芋大会,焼き芋を食べる
倒木,とうぼく,風倒木,倒木の下,倒木の上,大きな倒木,倒木処理
頭髪,とうはつ,頭髪検査,頭髪用,頭髪治療,なる頭髪,頭髪の日
道幅,みちはば,道幅が狭い,道幅が広い,道幅も広い,道幅も狭い,道幅は狭い
丹精,たんせい,丹精こめ,丹精を込める,一つ丹精
甘酸っぱい,あまずっぱい,甘酸っぱい香り,甘酸っぱい味,甘酸っぱい思い出,甘酸っぱい青春,甘酸っぱい味わい
間柄,あいだがら,親しい間柄,ない間柄,旧知の間柄,する間柄,いる間柄
迷彩,めいさい,迷彩服,迷彩柄,光学迷彩,迷彩色,ステルス迷彩
爆走,ばくそう,浜爆走
扱える,あつかえる,扱えるよう,扱えること,扱えるもの,扱える人,扱えそう
折り込み,おりこみ,折り込みチラシ,新聞折り込み,折り込み広告,新聞の折り込み,折り込み済み
沖合,おきあい,辺野古沖合,沖合底,沖合漁業,沖合移設,東方沖合
見舞,みまい,見舞金,暑中見舞,災害見舞,障害見舞,入院見舞
繰越,くりこし,繰越明,繰越欠損,繰越額,損失の繰越,繰越計算
黙認,もくにん,それを黙認する,黙認すること,黙認状態,行為を黙認,上黙認
奇抜,きばつ,その奇抜,奇抜すぎ,ない奇抜
鎖国,さこく,鎖国政策,鎖国時代,鎖国状態,鎖国をする,鎖国体制
惨状,さんじょう,この惨状,惨状を見る,その惨状,ない惨状,今の惨状
本拠,ほんきょ,本拠を置く,本拠とする,市に本拠,生活の本拠,使用の本拠
橋脚,きょうきゃく,橋脚沈下,製橋脚,橋脚の耐震,橋の橋脚,橋脚工事
軽微,けいび,定める軽微,ない軽微,する軽微,等の軽微,規定する軽微
山芋,やまいも,山芋とろろ,山芋入り,山芋そば
次項,じこう,次項の規定,次項に規定,以下次項,条次項
屈し,くっし,圧力に屈し,テロに屈し,前に屈し,要求に屈し,権力に屈し
安眠,あんみん,安眠グッズ,安眠快眠,安眠館,こだわり安眠,安眠効果
西端,せいたん,西端に位置,西端部,西端の駅,市の西端,西端の島
足踏み,あしふみ,足踏み状態,足踏みをする,足踏み式,足踏みミシン,足踏み脱穀
手柄,てがら,自分の手柄,手柄を立てる,手柄山,手柄話,手柄のよう
玄人,くろうと,玄人好み,玄人志向,玄人向け,玄人はだし,玄人さん
攻守,こうしゅ,攻守の切り替え,攻守のバランス,攻守交替,攻守交代,攻守共
弾幕,だんまく,弾幕ごっこ,弾幕系,弾幕風,弾幕を張る,東方弾幕
砲台,ほうだい,砲台跡,固定砲台,砲台山,たい砲台,移動砲台
奇数,きすう,奇数月,奇数日,奇数羽,奇数番,奇数の場合
行脚,あんぎゃ,全国行脚,全国を行脚,諸国行脚,行脚の旅,行脚中
兼業,けんぎょう,兼業農家,兼業主婦,兼業主夫,兼業禁止,兼業化
早寝,はやね,早寝早起き,今日は早寝,早寝をする
世俗,せぞく,世俗的,世俗化,世俗主義,世俗派,世俗権力
陣屋,じんや,陣屋跡,高山陣屋,陣屋町,陣屋前,奥殿陣屋
振付,ふりつけ,振付家,振付師,振付を担当,振付作品,振付をする
突風,とっぷう,激しい突風,突風のよう,落雷や突風,時折突風,突風に注意
踏み台,ふみだい,
荒波,あらなみ,日本海の荒波,荒波の中,太平洋の荒波,世間の荒波,社会の荒波
浸かる,つかる,どっぷり浸かる,浸かること,ゆっくり浸かる,浸かるよう,浸かる事
小幅,こはば,小幅高,小幅安,小幅続落,小幅反発,小幅反落
差し込み,さしこみ,差し込み口,差し込み印刷,差し込み式,差し込みプラグ,穴に差し込み
売り込み,うりこみ,売り込み方,売り込みをする,商品の売り込み,売り込みをかける,売り込み先
身柄,みがら,身柄を確保,身柄引き渡し,身柄確保,者の身柄,身柄を確保する
差し押さえ,さしおさえ,給与差し押さえ,住宅差し押さえ,財産の差し押さえ,財産差し押さえ,財産を差し押さえ
鮮烈,せんれつ,その鮮烈
端午,たんご,端午の節句,端午節,日の端午,端午の節供,日端午
伺える,うかがえる,伺えるよう,伺えること,伺える独自,伺えるもの
損壊,そんかい,器物損壊,損壊容疑,損壊罪,死体損壊,損壊の疑い
避暑,ひしょ,避暑地,夏は避暑,夏の避暑,避暑客,避暑散歩
砲弾,ほうだん,砲弾型,発の砲弾,砲弾の破片,砲弾を発射,機関砲弾
路肩,ろかた,路肩に車,路肩に止め,路肩に停車,道路の路肩,路肩に雪
万端,ばんたん,準備万端,用意万端
耐力,たいりょく,構造耐力,地耐力,水平耐力,限界耐力,せん断耐力
敗訴,はいそ,敗訴者,逆転敗訴,敗訴確定,原告敗訴,全面敗訴
名鑑,めいかん,選手名鑑,人物名鑑,社長名鑑,名鑑でチェック,タレント名鑑
駆け足,かけあし,駆け足で見る,駆け足気味,駆け足で回る,駆け足で過ぎる,駆け足旅行
脚色,きゃくしょく,脚色賞,脚色したもの,脚色を加える
離宮,りきゅう,修学院離宮,離宮公園,赤坂離宮,芝離宮,夏の離宮
別姓,べっせい,夫婦別姓,別姓制度,別姓法案,別姓に反対,別姓反対
釈明,しゃくめい,釈明会見,求釈明,釈明を求める,釈明をする,釈明文
戒名,かいみょう,戒名料,生前戒名,差別戒名
騒然,そうぜん,騒然とする,話題騒然,疑惑に騒然,騒然とさせる,一時騒然
替え歌,かえうた,替え歌を歌う,替え歌を作る,この替え歌,歌の替え歌
恋しい,こいしい,恋しい季節,恋しい人,味が恋しい,恋し浜,恋しい今日
長髪,ちょうはつ,長髪の男,長髪可,黒髪長髪,黒い長髪
駆ける,かける,階段を駆ける,駆け下り,駆け巡り,中を駆ける,世界を駆ける
弾む,はずむ,弾むよう,弾むツヤ,会話も弾む,話も弾む,弾むこと
腕輪,うでわ,透視の腕輪,腕輪を装備,銀の腕輪,黄金の腕輪,降る腕輪
停泊,ていはく,停泊中,港に停泊,停泊地,沖に停泊,船の停泊
野獣,やじゅう,野獣のよう,野獣死,美女か野獣,美しき野獣,野獣派
拡幅,かくふく,拡幅工事,道路拡幅,道路の拡幅,拡幅整備,拡幅事業
跳躍,ちょうやく,跳躍力,時間跳躍,大きく跳躍,高く跳躍,跳躍台
勝訴,しょうそ,勝訴判決,逆転勝訴,全面勝訴,勝訴の判決,原告勝訴
西陣,にしじん,京都西陣,正絹西陣,西陣病院,京都の西陣,西陣織物
歓送,かんそう,歓送迎,歓送会,職場の歓送,会社の歓送,春の歓送
雌雄,しゆう,雌雄異,雌雄を決する,雌雄同体,雌雄同,雌雄判別
確執,かくしつ,確執の歴史,間の確執,間に確執,兄弟の確執,同士の確執
退避,たいひ,退避勧告,屋内退避,一時退避,退避を命令,退避場所
鬼門,きもん,鬼門の方角,城の鬼門,鬼門を守る
劣悪,れつあく,劣悪化,劣悪環境,ない劣悪,環境の劣悪
押し花,おしばな,押し花教室,押し花作品,押し花額,押し花絵,押し花展
先般,せんぱん,先般来
更地,さらち,更地渡し,現況更地,更地となる,解体更地,更地のまま
仕舞い,しまい,雨仕舞い,仕舞い込み
美麗,びれい,美麗イラスト,美麗島,美麗さん
甘える,あまえる,甘えること,甘えるよう,甘え方,甘える事,甘えっぷり
組込み,くみこみ,組込みシステム,組込みソフトウェア,組込みソフト,組込み技術,組込み系
白壁,しらかべ,白壁土蔵,白壁の町並み,白壁の土蔵,白壁の町,白壁王
狩る,かる,狩ること,狩り方,エルフを狩る,狩るモノ,狩る者
風刺,ふうし,風刺画,社会風刺,風刺漫画,世紀風刺,風刺絵日記
気鋭,きえい,新進気鋭,気鋭の若手,気鋭の研究,する気鋭,気鋭の作家
過渡,かと,過渡期,過渡的,過渡応答,過渡現象,過渡特性
満杯,まんぱい,満杯状態,満杯となる,場満杯,満杯の状態
短剣,たんけん,短剣スキル,その短剣
鎖骨,さこつ,鎖骨下,鎖骨骨折,左鎖骨,鎖骨の下,右鎖骨
途切れる,とぎれる,途切れること,途中で途切れる,途切れる事,途切れがち,途切れそう
汚損,おそん,汚損等,破損や汚損,等を汚損,汚損や破損,商品に汚損
恵方,えほう,恵方巻き,恵方巻,今年の恵方,年の恵方,恵方を向う
律儀,りちぎ,律儀者
被弾,ひだん,機体に被弾,被弾率,被弾時,発被弾
理髪,りはつ,理髪店,理髪師,セビリアの理髪,セヴィリアの理髪,セビリャの理髪
惨劇,さんげき,この惨劇,あの惨劇,その惨劇,館の惨劇,前の惨劇
縁組,えんぐみ,養子縁組,縁組をする,縁組届,縁組の取消し,姉妹縁組
家柄,いえがら,ある家柄,する家柄,家柄に生まれ,古い家柄
御手洗,みたらし,御手洗会長,御手洗潔,御手洗さん,経団連の御手洗,御手洗氏
微熱,びねつ,微熱程度
追憶,ついおく,殺人の追憶,愛と追憶,追憶編,追憶の彼方,昭和の追憶
替わる,かわる,替わる商品,替わる新,替わりランチ,替わること,替わるもの
床の間,とこのま,床の間の前
陰影,いんえい,彩陰影,陰影画像,異常陰影,深い陰影,光の陰影
激闘,げきとう,激闘の末,激闘編,激闘を繰り広げる,激闘と悲しみ,激闘を制す
御堂,みどう,御堂さん,浮御堂,御堂関白,南御堂,御堂まどか
体罰,たいばつ,体罰を加える,体罰を受ける,体罰教師,体罰をする,生徒に体罰
朝霧,あさぎり,朝霧駅,朝霧の中,朝霧さん,朝霧店,朝霧橋
脈絡,みゃくらく,脈絡もない,何の脈絡,脈絡も無い,脈絡がない,前後の脈絡
香典,こうでん,香典帳,香典の金額,香典の表書き,香典金額,香典の相場
軒先,のきさき,民家の軒先,家の軒先,軒先渡し,店の軒先,屋の軒先
振り子,ふりこ,振り子時計,振り子のよう,振り子式,振り子運動,振り子打
参与,さんよ,会計参与,参与観察,参与員,参与すること,参与制度
歓談,かんだん,歓談中,楽しく歓談,歓談タイム,歓談の後,和やかに歓談
品薄,しなうす,品薄状態,品薄商品,人気品薄,品薄感,的に品薄
介在,かいざい,介在物,動物介在,間に介在,介在すること,介在療法
鋭意,えいい,現在鋭意,鋭意取り組む,鋭意進む,鋭意努める
文豪,ぶんごう,明治の文豪,文豪たち,ロシアの文豪,多くの文豪,文豪が愛しい
馬刺し,ばさし,馬刺し専門,馬刺し屋,馬刺しを食べる
真壁,しんかべ,真壁町,真壁郡,市真壁,真壁刀,真壁くん
添い寝,そいね,添い寝をする,添い寝のお子様,添い寝無料,お子様添い寝,こども添い寝
切迫,せっぱく,切迫感,切迫早産,切迫流産,切迫性,切迫した状況
会釈,えしゃく,会釈をする,軽く会釈,遠慮会釈,会釈を返す,笑顔で会釈
失脚,しっきゃく,失脚後,事件で失脚,氏の失脚
猛者,もさ,猛者たち,猛者達,猛者はいる,猛者もいる,する猛者
悩ましい,なやましい,悩ましいところ,悩ましい問題,悩ましいこと,なかなか悩ましい,悩ましいもの
主砲,しゅほう,主砲塔,主砲弾,大和の主砲,主砲発射,戦車の主砲
諸般,しょはん,諸般の事情,諸般の報告,諸般の都合,その他諸般,諸般の情勢
暗躍,あんやく,裏で暗躍,裏で暗躍する,暗躍する日,暗躍中
振り替え,ふりかえ,振り替え休日,振り替え輸送,郵便振り替え,振り替えレッスン,日の振り替え
枯葉,かれは,枯葉剤,枯葉色,枯葉のよう,枯葉の中
雷神,らいじん,風神雷神,雷神社,雷神図,火雷神,雷神様
油彩,ゆさい,油彩画,キャンバスに油彩,油彩作品,油彩画展,油彩展
すり替え,すりかえ,論点のすり替え,論理のすり替え,問題のすり替え,話のすり替え,問題にすり替え
言い渡し,いいわたし,判決言い渡し,判決の言い渡し,言い渡し後
奥の院,おくのいん,高野山奥の院,寺奥の院,神社奥の院,奥の院参道,寺の奥の院
箇月,かげつ,箇月以内,一箇月,六箇月,三箇月,箇月を経過
結婚式,けっこんしき,結婚式場,県の結婚式,結婚式を挙げる,友人の結婚式,結婚式の二次会
比較的,ひかくてき,比較的新しい,比較的少ない,比較的高い,比較的多い,比較的早い
圧倒的,あっとうてき,圧倒的多数,圧倒的に多く,その圧倒的,圧倒的に有利,以上の圧倒的
違和感,いわかん,違和感を感じる,違和感を覚える,違和感がない,違和感はない,何か違和感
薬剤師,やくざいし,薬剤師求人,薬剤師の求人,薬剤師の転職,薬剤師転職,薬剤師に相談
和菓子,わがし,和菓子屋,和菓子店,京都の和菓子,老舗和菓子,和菓子職人
紫外線,しがいせん,紫外線対策,紫外線吸収,紫外線カット,紫外線を浴びる,紫外線照射
精一杯,せいいっぱい,精一杯生きる,精一杯がんばる,精一杯やる,ように精一杯,できる精一杯
一般人,いっぱんじん,ない一般人,一般人向け,普通の一般人,いる一般人,一般人の感覚
最先端,さいせんたん,最先端技術,最先端の技術,世界最先端,最先端の研究,時代の最先端
格闘技,かくとうぎ,総合格闘技,異種格闘技,格闘技界,格闘技戦,格闘技ファン
微生物,びせいぶつ,微生物学,する微生物,有用微生物,病原微生物,微生物群
長距離,ちょうきょり,長距離バス,長距離移動,長距離ドライブ,長距離弾道,長距離輸送
吹奏楽,すいそうがく,吹奏楽部,吹奏楽団,吹奏楽のため,高校吹奏楽,中学校吹奏楽
腕時計,うでどけい,腕時計食品,高級腕時計,腕時計を見る,付き腕時計,ブランド腕時計
大震災,だいしんさい,淡路大震災,大震災の時,中越大震災,大震災後,大震災復興
旨味,うまみ,米の旨味,肉の旨味,旨味成分,旨味たっぷり,本来の旨味
最高峰,さいこうほう,世界最高峰,日本最高峰,大陸最高峰,国内最高峰,県の最高峰
最優秀,さいゆうしゅう,最優秀賞,最優秀作品,最優秀選手,賞最優秀,最優秀新人
紫色,むらさきいろ,赤紫色,紫色の花,紫色をする,濃い紫色,淡紫色
悪影響,あくえいきょう,悪影響を及ぼす,悪影響を与える,発育に悪影響,悪影響を受ける,環境に悪影響
自販機,じはんき,自販機の前,自販機で買う,ある自販機,たばこ自販機,飲料自販機
広範囲,こうはんい,非常に広範囲,広範囲に移動,広範囲に使用,広範囲に分布,広範囲攻撃
遠距離,えんきょり,遠距離恋愛,遠距離攻撃,遠距離戦,遠距離通勤,遠距離受信
幾度,いくど,幾度も繰り返す,過去に幾度,幾度もある
洋菓子,ようがし,洋菓子店,洋菓子屋,その他洋菓子,洋菓子職人,洋菓子和菓子
河川敷,かせんじき,荒川河川敷,河川敷公園,川河川敷,川の河川敷,荒川の河川敷
交響曲,こうきょうきょく,交響曲全集,交響曲全曲,交響曲集,協奏交響曲
不透明,ふとうめい,不透明感,先行き不透明,不透明度,不透明性,先行きに不透明
寝不足,ねぶそく,寝不足気味,寝不足のせい,今日は寝不足,最近寝不足,寝不足のまま
更年期,こうねんき,更年期障害,男性更年期,男性の更年期,男の更年期,更年期外来
住環境,じゅうかんきょう,住環境良好,住環境ランキング,住環境整備,市の住環境,住環境の整備
扇風機,せんぷうき,扇風機を食べる,扇風機の風,扇風機の前,ない扇風機,扇風機を回す
吸血鬼,きゅうけつき,吸血鬼ドラキュラ,吸血鬼化,吸血鬼たち,吸血鬼伝説,吸血鬼のよう
本拠地,ほんきょち,本拠地とする,本拠地を置く,氏の本拠地,敵の本拠地,本拠地となる
義援金,ぎえんきん,被害義援金,被害の義援金,義援金を送る,義援金を受付,災害義援金
離乳食,りにゅうしょく,離乳食の用意,離乳食親,運動会離乳食,離乳食レシピ,法離乳食
御用,ごよう,御用学者,御用の方,御用商人,何か御用,安い御用
脂肪酸,しぼうさん,トランス脂肪酸,脂肪酸エステル,遊離脂肪酸,鎖脂肪酸,脂肪酸組成
被写体,ひしゃたい,被写体ブレ,被写体情報,被写体となる,ある被写体,動く被写体
販売元,はんばいもと,円販売元,製造販売元,プラン販売元,販売元サイト,輸入販売元
浮世絵,うきよえ,浮世絵師,浮世絵版画,広重の浮世絵,時代の浮世絵,浮世絵展
舞台裏,ぶたいうら,その舞台裏,優待の舞台裏,制作の舞台裏,界舞台裏,製作の舞台裏
防波堤,ぼうはてい,防波堤灯台,南防波堤,北防波堤,沖防波堤,防波堤の上
歳時記,さいじき,俳句歳時記,日本の歳時記,花の歳時記,今週の歳時記,歳時記トピックス
桃色,ももいろ,桃色の花,淡い桃色,淡桃色,桃色吐息,桃色の髪
占星術,せんせいじゅつ,西洋占星術,占星術師,インド占星術,占星術で占う,占星術でみる
微粒子,びりゅうし,微粒子化,ナノ微粒子,金属微粒子,性微粒子,微粒子分散
近距離,きんきょり,近距離戦,近距離攻撃,近距離用,近距離の敵,近距離恋愛
普段着,ふだんぎ,普段着のまま,パリジェンヌの普段着,普段着感覚,普段着姿,普段着に着替え
小惑星,しょうわくせい,小惑星探査,小惑星イトカワ,小惑星帯,小惑星の一覧,ある小惑星
急斜面,きゅうしゃめん,急斜面を登る,急斜面を下る,山の急斜面,この急斜面,最後の急斜面
一軒家,いっけんや,一軒家レストラン,ある一軒家,中の一軒家,普通の一軒家,古い一軒家
大御所,おおごしょ,界の大御所,大御所様,大御所たち,大御所さん,大御所的
水溶液,すいようえき,水溶液中,ナトリウム水溶液,アルカリ水溶液,酸水溶液,水溶液の性質
乾電池,かんでんち,アルカリ乾電池,乾電池式,三乾電池,形乾電池,マンガン乾電池
報道陣,ほうどうじん,報道陣に公開,報道陣の取材,報道陣の前,報道陣の質問,多くの報道陣
最南端,さいなんたん,日本最南端,本州最南端,最南端に位置,県最南端,県の最南端
短距離,たんきょり,短距離ミサイル,短距離馬,短距離路線,短距離選手,陸上短距離
天皇杯,てんのうはい,天皇杯全日本,天皇杯決勝,回天皇杯,天皇杯優勝,天皇杯準決勝
不可抗力,ふかこうりょく,等の不可抗力,不可抗力に起因,不可抗力と認める,不可抗力と認められる,その他不可抗力
黙示録,もくしろく,ヨハネの黙示録,黙示録カイジ,球黙示録,学園黙示録,ヨハネ黙示録
狂犬病,きょうけんびょう,狂犬病予防,狂犬病の予防,狂犬病ワクチン,登録と狂犬病,狂犬病の注射
特攻隊,とっこうたい,特攻隊員,特攻隊長,神風特攻隊,特攻隊の生き残り
被験者,ひけんしゃ,人の被験者,実験の被験者,被験者たち,被験者数
朱色,しゅいろ,朱色の鳥居,朱色の花,朱色の社殿,朱色の橋,朱色に染め
縁起物,えんぎもの,縁起物とされる,正月の縁起物,結納縁起物,縁起物桃の節句
御宿,おやど,御宿かわせみ,御宿町,温泉御宿,御宿しん,郡御宿
傾斜地,けいしゃち,傾斜地を利用,傾斜地を利用する
東端,とうたん,東端に位置,東端部,県の東端,市の東端,東端の駅
御存知,ごぞんじ,御存知の方,御存知の通り,御存知のよう,皆さん御存知,御存知のとおり
最北端,さいほくたん,日本最北端,本州最北端,最北端に位置,最北端の地,県の最北端
